date,temp,personnel,aircraft,helicopter,tank,APC,field_artillery,MRL,drone
2022-02-25,0,2800,10.0,7.0,80.0,516.0,49.0,4.0,0.0
2022-02-26,0,1500,17.0,19.0,66.0,190.0,0.0,0.0,2.0
2022-02-27,0,200,0.0,0.0,4.0,0.0,1.0,0.0,0.0
2022-02-28,0,800,2.0,3.0,0.0,110.0,24.0,17.0,1.0
2022-03-01,0,410,0.0,0.0,48.0,30.0,3.0,3.0,0.0
2022-03-02,0,130,1.0,2.0,13.0,16.0,8.0,16.0,0.0
2022-03-03,0,3160,0.0,0.0,6.0,38.0,5.0,2.0,0.0
2022-03-04,0,166,3.0,6.0,34.0,39.0,15.0,8.0,0.0
2022-03-05,0,834,6.0,3.0,18.0,6.0,0.0,0.0,0.0
2022-03-06,0,1000,5.0,8.0,16.0,40.0,4.0,0.0,1.0
2022-03-07,0,0,2.0,20.0,5.0,14.0,8.0,0.0,3.0
2022-03-08,0,1000,2.0,12.0,13.0,37.0,3.0,6.0,0.0
2022-03-09,0,0,1.0,1.0,14.0,34.0,0.0,0.0,0.0
2022-03-10,0,0,0.0,0.0,18.0,35.0,3.0,0.0,0.0
2022-03-11,0,0,8.0,2.0,18.0,60.0,2.0,2.0,0.0
2022-03-12,0,0,1.0,0.0,9.0,40.0,10.0,4.0,0.0
2022-03-13,0,0,16.0,3.0,12.0,21.0,5.0,0.0,0.0
2022-03-14,0,0,3.0,4.0,15.0,23.0,10.0,2.0,1.0
2022-03-15,0,1500,4.0,5.0,15.0,30.0,0.0,0.0,1.0
2022-03-16,0,300,3.0,13.0,26.0,96.0,40.0,6.0,2.0
2022-03-17,0,200,2.0,0.0,14.0,60.0,11.0,2.0,0.0
2022-03-18,0,200,7.0,4.0,6.0,13.0,4.0,0.0,1.0
2022-03-19,0,200,2.0,3.0,16.0,22.0,8.0,0.0,5.0
2022-03-20,0,300,1.0,3.0,10.0,17.0,17.0,2.0,4.0
2022-03-21,0,300,1.0,3.0,22.0,48.0,10.0,6.0,3.0
2022-03-22,0,300,2.0,2.0,11.0,21.0,12.0,0.0,11.0
2022-03-23,0,300,2.0,1.0,8.0,22.0,15.0,0.0,7.0
2022-03-24,0,200,7.0,0.0,13.0,19.0,13.0,2.0,8.0
2022-03-25,0,300,7.0,1.0,31.0,28.0,11.0,8.0,3.0
2022-03-26,0,300,2.0,2.0,14.0,15.0,2.0,1.0,3.0
2022-03-27,0,200,4.0,0.0,7.0,24.0,1.0,2.0,0.0
2022-03-28,0,400,2.0,0.0,4.0,30.0,8.0,2.0,10.0
2022-03-29,0,200,4.0,2.0,11.0,16.0,1.0,1.0,5.0
2022-03-30,1,100,4.0,2.0,8.0,13.0,2.0,0.0,10.0
2022-03-31,1,200,4.0,0.0,9.0,12.0,6.0,0.0,2.0
2022-04-01,1,200,8.0,0.0,11.0,16.0,5.0,0.0,2.0
2022-04-02,1,0,0.0,3.0,6.0,25.0,1.0,4.0,2.0
2022-04-03,1,300,0.0,0.0,13.0,54.0,8.0,5.0,2.0
2022-04-04,0,300,4.0,0.0,3.0,14.0,5.0,2.0,2.0
2022-04-05,0,200,3.0,0.0,29.0,14.0,2.0,0.0,3.0
2022-04-06,0,100,0.0,1.0,8.0,3.0,0.0,0.0,2.0
2022-04-07,1,300,0.0,0.0,14.0,30.0,0.0,1.0,15.0
2022-04-08,1,100,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2022-04-09,1,100,1.0,1.0,5.0,4.0,2.0,0.0,0.0
2022-04-10,1,200,1.0,1.0,17.0,16.0,7.0,0.0,0.0
2022-04-11,1,200,2.0,0.0,3.0,12.0,5.0,3.0,7.0
2022-04-12,1,100,3.0,3.0,7.0,23.0,2.0,0.0,5.0
2022-04-13,0,200,1.0,3.0,7.0,18.0,9.0,4.0,8.0
2022-04-14,1,100,2.0,1.0,14.0,4.0,8.0,7.0,2.0
2022-04-15,1,100,3.0,0.0,3.0,8.0,0.0,0.0,1.0
2022-04-16,1,100,0.0,1.0,6.0,6.0,5.0,3.0,3.0
2022-04-17,1,200,2.0,1.0,11.0,20.0,5.0,2.0,10.0
2022-04-18,1,300,2.0,1.0,17.0,39.0,5.0,3.0,7.0
2022-04-19,1,200,2.0,3.0,12.0,22.0,5.0,2.0,3.0
2022-04-20,1,100,2.0,0.0,13.0,24.0,5.0,4.0,7.0
2022-04-21,1,100,1.0,1.0,14.0,31.0,2.0,0.0,1.0
2022-04-22,1,200,4.0,2.0,9.0,44.0,4.0,2.0,6.0
2022-04-23,1,400,1.0,1.0,16.0,43.0,6.0,5.0,10.0
2022-04-24,1,200,2.0,0.0,19.0,33.0,5.0,4.0,9.0
2022-04-25,1,100,2.0,0.0,11.0,20.0,3.0,2.0,10.0
2022-04-26,1,200,3.0,0.0,34.0,50.0,5.0,0.0,4.0
2022-04-27,1,300,1.0,1.0,21.0,34.0,5.0,0.0,2.0
2022-04-28,1,400,2.0,0.0,31.0,47.0,10.0,2.0,8.0
2022-04-29,1,200,2.0,0.0,16.0,29.0,4.0,0.0,14.0
2022-04-30,1,200,1.0,0.0,22.0,27.0,1.0,0.0,3.0
2022-05-01,1,300,2.0,0.0,18.0,26.0,15.0,0.0,13.0
2022-05-02,1,300,2.0,0.0,22.0,48.0,8.0,1.0,26.0
2022-05-03,1,400,0.0,0.0,14.0,48.0,16.0,10.0,20.0
2022-05-04,1,300,0.0,0.0,15.0,43.0,16.0,1.0,12.0
2022-05-05,1,200,2.0,0.0,15.0,41.0,8.0,6.0,9.0
2022-05-06,1,200,3.0,0.0,18.0,35.0,3.0,2.0,12.0
2022-05-07,1,200,0.0,0.0,12.0,27.0,7.0,1.0,17.0
2022-05-08,1,400,0.0,1.0,8.0,28.0,0.0,7.0,19.0
2022-05-09,1,150,0.0,2.0,15.0,23.0,4.0,6.0,17.0
2022-05-10,1,350,0.0,0.0,25.0,44.0,6.0,0.0,3.0
2022-05-11,1,350,0.0,2.0,17.0,48.0,9.0,0.0,10.0
2022-05-12,1,300,0.0,1.0,8.0,17.0,6.0,6.0,8.0
2022-05-13,1,250,1.0,1.0,10.0,27.0,8.0,2.0,7.0
2022-05-14,1,300,0.0,1.0,13.0,34.0,9.0,2.0,6.0
2022-05-15,1,200,0.0,1.0,2.0,24.0,4.0,0.0,5.0
2022-05-16,1,300,0.0,1.0,8.0,16.0,22.0,0.0,11.0
2022-05-17,1,200,1.0,2.0,7.0,35.0,1.0,3.0,9.0
2022-05-18,1,400,1.0,0.0,16.0,34.0,8.0,1.0,5.0
2022-05-19,1,200,1.0,0.0,3.0,20.0,9.0,0.0,14.0
2022-05-20,1,200,1.0,1.0,9.0,27.0,1.0,1.0,5.0
2022-05-21,1,150,0.0,1.0,15.0,26.0,0.0,1.0,2.0
2022-05-22,1,200,0.0,1.0,7.0,25.0,3.0,0.0,8.0
