name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
donetsk,2022-02-25,7.5,1.6,4.2,5.3,-2.1,1.3,2.1,86.8,3.5,100,25,"rain,snow",0,0,41.4,19.4,72.5,1016.5,98.6,23.5,99.4,8.7,4,10,2022-02-25T06:17:46,2022-02-25T17:06:40,0.84,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,remote
donetsk,2022-02-26,4,0.9,2.7,3.3,-3.2,-0.3,1.4,91.3,0.2,100,8.33,"rain,snow",0,0,33.1,16.2,359.3,1016.5,99.9,19.9,96.7,8.3,3,10,2022-02-26T06:15:53,2022-02-26T17:08:13,0.89,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,remote
donetsk,2022-02-27,5.2,-0.7,1.4,1.9,-5,-2.3,-2.7,75.5,0,0,0,,0,0,34.9,17.6,346.6,1024.4,57.5,22.7,88.6,7.8,3,10,2022-02-27T06:14:00,2022-02-27T17:09:46,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
donetsk,2022-02-28,2.6,-2.2,-0.1,-0.4,-4.9,-2.9,-3.6,77.5,0,0,0,,0,0,29.2,13.7,30.1,1025.7,71.4,24,141.9,12.4,4,10,2022-02-28T06:12:06,2022-02-28T17:11:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
donetsk,2022-03-01,4.6,-0.1,1.8,0.6,-4.2,-2.1,-1.4,79.9,0.7,100,8.33,snow,0,0,42.8,21.2,78.4,1023.3,95.7,20.5,78.6,5.6,3,10,2022-03-01T06:10:11,2022-03-01T17:12:50,1,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,rain,remote
donetsk,2022-03-02,4.8,0.4,2.2,1.9,-3.6,-1.2,0.6,89.7,2.2,100,37.5,"rain,snow",0.3,0.3,42.1,15.8,108.3,1019.8,99.6,8,26.3,1.9,1,10,2022-03-02T06:08:15,2022-03-02T17:14:22,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,remote
donetsk,2022-03-03,3.9,0.3,1.7,0.4,-2.7,-1.2,0.5,92.2,4.5,100,50,snow,4.3,1.3,34.9,15.1,24.7,1006.6,99.6,0,8.6,0.7,0,10,2022-03-03T06:06:19,2022-03-03T17:15:54,0,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,remote
donetsk,2022-03-04,2.7,0.2,1.3,-2.4,-4.4,-3.4,-0.7,86.7,0.8,100,33.33,"rain,snow",0,3.5,56.5,27.4,282,1003.4,98.9,11.3,45.4,3.2,1,10,2022-03-04T06:04:22,2022-03-04T17:17:25,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,remote
donetsk,2022-03-05,0.8,-1.1,-0.1,-3.8,-5.9,-4.9,-2.2,85.8,1.7,100,37.5,snow,0.7,1.9,41,19.8,292.5,1009.4,97.8,5.8,67.7,4.8,2,10,2022-03-05T06:02:24,2022-03-05T17:18:56,0.04,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,remote
donetsk,2022-03-06,2.2,-4,-1,-0.6,-8.2,-3.8,-6.6,66.9,0,0,0,,0,0.9,26.3,12.2,341.3,1019.6,23.8,23.5,173.4,12.4,5,10,2022-03-06T06:00:26,2022-03-06T17:20:27,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
donetsk,2022-03-07,0.7,-4.4,-1.7,-1.2,-4.4,-2.8,-7.1,68.1,0,0,0,snow,0,2.6,23,10.8,251.9,1016,62.2,22.6,162.6,12.8,5,10,2022-03-07T05:58:27,2022-03-07T17:21:58,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
donetsk,2022-03-08,0.7,-2.6,-1.2,-2.1,-4.5,-3,-5.5,73.6,0.1,100,4.17,snow,0,2.8,25.9,11.9,295.7,1012.2,95.1,20.8,135.7,11.7,4,10,2022-03-08T05:56:28,2022-03-08T17:23:28,0.16,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,rain,remote
donetsk,2022-03-09,0.2,-4,-1.7,-2.2,-8.2,-4.2,-6.6,70.2,0.6,100,20.83,snow,1.2,2.8,31.7,15.5,14.7,1013.8,83.5,13.5,153.8,13.6,4,10,2022-03-09T05:54:28,2022-03-09T17:24:58,0.21,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,remote
