name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mariupol,2022-02-25,6.6,3.4,5,4.7,-1.6,1.2,3.1,87.8,2,100,4.17,rain,0,0,54,35.6,61,1014.9,99.5,20,95.1,8.3,3,10,2022-02-25T06:17:37,2022-02-25T17:08:52,0.84,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"34727099999,34712099999,remote"
mariupol,2022-02-26,6.7,3.7,5,4.6,-0.2,2,2.6,84.9,0.4,100,16.67,rain,0,0,29.2,25.2,358.1,1015.7,99.9,20,98.4,8.6,3,10,2022-02-26T06:15:48,2022-02-26T17:10:22,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"34727099999,34712099999,remote"
mariupol,2022-02-27,5.3,1.4,3.1,3.4,-2.5,0,-1,75.2,0.1,100,4.17,"rain,snow",0,0,30.2,18,358.3,1024.3,73.7,18.4,76,6.7,3,10,2022-02-27T06:13:58,2022-02-27T17:11:52,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"34727099999,remote"
mariupol,2022-02-28,4.3,-0.4,1.9,1.4,-5,-2.1,-2.2,74.8,0,0,0,,0,0,36,21.6,48.8,1024.8,52.3,19.4,158.3,13.8,5,10,2022-02-28T06:12:07,2022-02-28T17:13:21,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34727099999,remote"
mariupol,2022-03-01,5.2,0.4,2.8,1.1,-5.2,-2.3,-0.2,80.8,4.9,100,29.17,rain,0,0,52.2,36.7,71,1021.3,88.6,15.5,48.9,3.6,2,10,2022-03-01T06:10:15,2022-03-01T17:14:50,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34727099999,remote"
mariupol,2022-03-02,7.2,2.6,3.9,4.5,-2.9,0.2,2.3,89.6,1.1,100,20.83,rain,0,0,41,29.2,92.8,1018.8,94.7,17.1,65.6,4.8,2,10,2022-03-02T06:08:23,2022-03-02T17:16:19,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"34727099999,remote"
mariupol,2022-03-03,4.7,2.1,3.1,1.2,-2.5,-0.7,1.6,90.3,4.9,100,45.83,"rain,snow",0,0,36,21.6,22.5,1005.3,100,7.7,11.8,0.7,0,10,2022-03-03T06:06:29,2022-03-03T17:17:47,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"34727099999,remote"
mariupol,2022-03-04,5,1.8,3,0.3,-4.2,-2.1,-0.3,79.3,0,0,0,snow,0,0,57.6,39.6,278.9,1005.4,90.9,18.1,48.5,3.4,1,10,2022-03-04T06:04:36,2022-03-04T17:19:15,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"34727099999,remote"
mariupol,2022-03-05,3.2,0.6,1.8,-2.3,-4.9,-3.6,-1.6,78.6,0.2,100,8.33,"rain,snow",0,0,54,39.6,276.3,1011,91.8,19.2,54.3,3.9,2,10,2022-03-05T06:02:41,2022-03-05T17:20:43,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"34727099999,remote"
mariupol,2022-03-06,3.1,-4.6,0.8,2.9,-7.9,-1.7,-4.2,70.4,0.4,100,12.5,"rain,snow",0,0,36,21.6,357.8,1019.5,52.1,18.1,188.9,13.5,5,10,2022-03-06T06:00:46,2022-03-06T17:22:10,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"34727099999,remote"
