name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melitopol,2022-02-25,8.7,3.3,5.7,6.7,-0.5,2.9,3.3,84.5,1.3,100,37.5,rain,0,0,41.8,17.3,31.5,1015,98.7,23.8,116,10.1,4,10,2022-02-25T06:25:58,2022-02-25T17:17:55,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
melitopol,2022-02-26,5.7,2.5,4.4,2.2,-1.3,0.8,1.9,83.8,0.6,100,16.67,rain,0,0,41.4,22,351.9,1017.6,97.5,24.1,101.1,8.7,3,10,2022-02-26T06:24:10,2022-02-26T17:19:24,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,remote
melitopol,2022-02-27,6.7,-0.3,2.4,3.4,-5.1,-1.3,-2.3,72,0,0,0,,0,0,36.4,20.5,7.8,1025.6,41.9,24.1,102.3,9,4,10,2022-02-27T06:22:21,2022-02-27T17:20:53,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-02-28,6,-1.8,1.5,2.5,-6.8,-2.6,-3,72.3,0,0,0,,0,0,37.4,19.8,46.6,1024.3,53.1,24.1,161.1,14,5,10,2022-02-28T06:20:31,2022-02-28T17:22:21,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-01,3.9,-0.7,1.8,0,-5.7,-2.8,-0.7,83.9,4,100,29.17,"rain,snow",0.7,0.4,53.3,27.4,58.7,1020.4,93.2,14.2,19.4,1.3,1,10,2022-03-01T06:18:40,2022-03-01T17:23:49,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,remote
melitopol,2022-03-02,6.2,3.3,4.4,3.4,-0.2,1.5,2.4,87.4,3.2,100,33.33,rain,0,0,37.1,18,127.8,1017,97.3,17.2,61.6,4.5,3,10,2022-03-02T06:16:49,2022-03-02T17:25:17,1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
melitopol,2022-03-03,6.6,3,4,3.6,-0.7,1.1,1.5,83.8,3.3,100,45.83,"rain,snow",0,0,42.1,20.5,6.6,1007,99.8,17.7,22.4,1.8,1,10,2022-03-03T06:14:57,2022-03-03T17:26:44,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,remote
melitopol,2022-03-04,5.4,1.2,3.1,1.2,-3.2,-1.2,-0.2,79.9,0.5,100,12.5,"rain,snow",0,0,43.6,24.1,286.5,1008.1,86.9,22.2,54.3,4,2,10,2022-03-04T06:13:04,2022-03-04T17:28:12,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,remote
melitopol,2022-03-05,2.3,-0.9,0.7,-2.6,-5.5,-3.7,-1.9,82.9,0.4,100,16.67,"rain,snow",0,0,40,22,284.7,1013,82.2,23.7,57.8,4.2,2,10,2022-03-05T06:11:10,2022-03-05T17:29:38,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,remote
melitopol,2022-03-06,3.8,-1.4,1,1.9,-5.4,-1.9,-4.4,69.3,0.4,100,12.5,"rain,snow",0.2,0,27.7,14.8,11.4,1020.2,57.3,23.7,189.6,13.7,5,10,2022-03-06T06:09:16,2022-03-06T17:31:05,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,remote
melitopol,2022-03-07,2.6,-3.4,-0.4,1.3,-3.4,-1,-5.8,68.2,0,0,0,,0,0,16.2,7.6,313.3,1016,65.3,23.4,161.4,12.7,5,10,2022-03-07T06:07:22,2022-03-07T17:32:31,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-08,1.7,-2.2,-0.5,-0.3,-4.6,-2.8,-4.1,77.5,0.3,100,12.5,snow,0,0,30.6,15.5,294.6,1013.1,85.2,22.9,139.1,12.1,4,10,2022-03-08T06:05:27,2022-03-08T17:33:58,0.16,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,rain,remote
melitopol,2022-03-09,2.2,-3.7,-0.9,-1.6,-4.6,-3.1,-4.5,77.9,0.4,100,12.5,"rain,snow",0.1,0,27.4,14.4,333.2,1014.3,58.6,23.4,172,14.8,5,10,2022-03-09T06:03:31,2022-03-09T17:35:23,0.21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,remote
melitopol,2022-03-10,0.1,-5,-2.1,-4.8,-11.4,-7.8,-7.4,68.1,0.2,100,8.33,"rain,snow",0.1,0,40.3,22.7,17.6,1019,79.7,23.2,139.5,12,4,10,2022-03-10T06:01:35,2022-03-10T17:36:49,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,remote
melitopol,2022-03-11,-1.3,-7.7,-4.3,-7.4,-14.3,-10.4,-9.2,68.6,0.9,100,29.17,snow,0.7,0.2,43.2,23.8,29.6,1021,95,19.8,133.1,11.3,4,10,2022-03-11T05:59:39,2022-03-11T17:38:14,0.3,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,remote
melitopol,2022-03-12,1,-6.2,-3,-2.8,-12.6,-7.4,-9.6,61.9,0,0,0,,0,0.1,33.1,18.7,16.1,1024.8,60.1,24.1,149.9,12.8,4,10,2022-03-12T05:57:42,2022-03-12T17:39:40,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-13,2.5,-6.6,-2.2,-0.4,-9.7,-4.7,-9.7,57.8,0,0,0,,0,0,21.6,11.9,33,1027.4,22.2,24.1,198.1,17.3,5,10,2022-03-13T05:55:44,2022-03-13T17:41:05,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-14,4,-4.5,-0.4,0.6,-4.5,-2.2,-6.3,65.8,0,0,0,,0,0,29.2,16.2,326.5,1033,53.4,24.1,192.6,16.6,5,10,2022-03-14T05:53:47,2022-03-14T17:42:29,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-15,8,-1.7,2.3,5.1,-5.5,-1.2,-3.5,66.3,0,0,0,snow,0,0,33.8,18.4,325.6,1028.9,44.8,24.1,160.9,13.7,6,10,2022-03-15T05:51:49,2022-03-15T17:43:54,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-16,2.6,-4.4,-1.2,-1.6,-8.4,-5.3,-8.4,59.4,0,0,0,,0,0,31.7,17.3,35.3,1029.8,20.7,24.1,218.3,18.8,6,10,2022-03-16T05:49:51,2022-03-16T17:45:18,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
melitopol,2022-03-17,0.1,-6.1,-3,-5.3,-11.6,-8.6,-10.4,57.6,0.1,100,4.17,snow,0.1,0,40.7,22.7,21.3,1031.4,51.2,24.1,156.5,13.5,4,10,2022-03-17T05:47:53,2022-03-17T17:46:42,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,remote
melitopol,2022-03-18,-0.4,-5.8,-3.1,-5.9,-12.6,-9,-9.4,62.4,0,0,0,snow,0,0,45.4,24.1,41.1,1037.4,75,23.8,178,15.5,5,10,2022-03-18T05:45:54,2022-03-18T17:48:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-19,4.1,-5.5,-1.2,-0.9,-11.6,-6.6,-9.4,56.7,0,0,0,,0,0,47.5,27.4,36,1038.5,3.2,24.1,228.3,19.8,6,10,2022-03-19T05:43:56,2022-03-19T17:49:30,0.51,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-20,6.9,-4.5,0.7,3.5,-10,-3.8,-10,46.1,0,0,0,,0,0,36,19.8,32.6,1036.9,5.7,24.1,232.6,20,6,10,2022-03-20T05:41:57,2022-03-20T17:50:54,0.53,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-21,11.3,-2.2,4.3,11.3,-5.8,1.8,-4,56.3,0,0,0,,0,0,33.8,18.7,11.1,1031.4,1.4,24.1,203.3,17.7,6,10,2022-03-21T05:39:58,2022-03-21T17:52:17,0.56,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-22,10.4,1.1,5.3,10.4,-3.3,2.1,-2.7,59.3,0,0,0,rain,0,0,47.2,25.9,59.1,1031.2,5.8,24.1,191.4,16.5,7,10,2022-03-22T05:37:59,2022-03-22T17:53:40,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-23,11.4,-0.8,4.7,11.4,-4.6,2.5,-6.6,45.8,0,0,0,,0,0,32.4,17.6,55.9,1029,0,24.1,229.2,19.8,7,10,2022-03-23T05:36:00,2022-03-23T17:55:04,0.66,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-24,11.6,-1.1,4,11.6,-3.4,2.4,-6.2,49.8,0,0,0,,0,0,28.4,15.5,102.2,1019.8,0,24.1,234.5,20.1,8,10,2022-03-24T05:34:01,2022-03-24T17:56:27,0.71,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-25,9.9,-1,4,8.5,-3.6,2.2,-3.9,59.3,0,0,0,,0,0,34.9,18.7,68.7,1018.8,48.3,24.1,190.8,16.2,6,10,2022-03-25T05:32:02,2022-03-25T17:57:50,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-26,14.4,-0.5,6.6,14.4,-0.5,5.5,-2.9,54.4,0,0,0,,0,0,46.1,25.9,249.9,1019.6,17.3,24.1,233.9,20,8,10,2022-03-26T05:30:03,2022-03-26T17:59:13,0.83,Clear,Clear conditions throughout the day.,clear-day,remote
melitopol,2022-03-27,8,1.3,5.4,3.8,-2.7,1.2,-3.1,56.3,0.3,100,8.33,"rain,snow",0,0,60.1,33.1,295.2,1015.6,65.5,23.7,180.7,14.8,6,10,2022-03-27T06:28:04,2022-03-27T19:00:35,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,remote
melitopol,2022-03-28,10,-1.3,3.9,7.3,-4,0.6,-7.6,45.9,0,0,0,,0,0,41,21.2,264.8,1025.3,23.5,24.1,240.5,20.8,8,10,2022-03-28T06:26:06,2022-03-28T19:01:58,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-29,13.7,1.5,7.1,13.7,-2.5,5,0.7,65.9,0,0,0,,0,0,49.3,27.4,201.8,1015.3,41.9,24.1,210.1,18.2,7,10,2022-03-29T06:24:07,2022-03-29T19:03:21,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-30,19.8,4.1,11,19.8,2.4,10,4.6,67.7,0,0,0,,0,0,38.9,21.2,204.3,1008.8,60.1,24.1,202.9,17.5,7,10,2022-03-30T06:22:09,2022-03-30T19:04:43,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-03-31,17.5,6.5,10.8,17.5,4.8,9.8,4.2,65.8,0,0,0,,0,0,46.8,24.8,176.5,1010,75.6,24.1,197.3,16.8,7,10,2022-03-31T06:20:11,2022-03-31T19:06:06,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
melitopol,2022-04-01,24.1,8.7,14.8,24.1,6.3,14.4,3.1,47.3,0,0,0,,0,0,55.1,28.8,186,1005.2,94.7,24.1,221,19,8,10,2022-04-01T06:18:13,2022-04-01T19:07:28,0,Overcast,Cloudy skies throughout the day.,cloudy,remote
melitopol,2022-04-02,20.8,9.6,14.5,20.8,7.8,14.3,5.4,55.7,0.1,100,4.17,rain,0,0,67,35.3,209,999.9,67.6,24.1,237.2,20.4,8,10,2022-04-02T06:16:15,2022-04-02T19:08:51,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
melitopol,2022-04-03,13.2,7.1,10.1,13.2,4.8,9.1,7.1,81.8,6.1,100,45.83,rain,0,0,52.2,23.8,240.4,1002.3,80.9,23.9,187.7,16.3,8,10,2022-04-03T06:14:18,2022-04-03T19:10:13,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
melitopol,2022-04-04,8.4,3.4,6,6.1,-0.4,2.7,-1,62.4,0,0,0,"rain,snow",0,0,43.9,23.4,270,1013.6,93.2,23.5,140.3,12.1,5,10,2022-04-04T06:12:21,2022-04-04T19:11:35,0.05,Overcast,Cloudy skies throughout the day.,cloudy,remote
